PDB,SP_PRIMARY,CHAIN
7CTC,P22830,A
4NRS,A0A075C6T6,A
6RL5,Q9ZEU7,C
6EPB,P48827,A
4OUD,A0A0H2UKY9,A
8C1C,P01854,H
1HQS,P39126,A
7M1Z,Q835L3,A
7M3H,A0A4U3MLJ4,A
1F3T,P07805,A
6O60,Q9UKC9,C
9D7K,P01011,S
8BWS,P25441,N
3C0Z,Q8WUI4,B
4RYA,B9JRF8,A
8S4P,A0A1V6SMJ6,C
5W7B,O18823,D
1RMG,Q00001,A
6HBV,D2D3B2,B
5K0Y,G1SRA8,S
7UY6,D2CVN8,G
5NEN,Q54457,B
1W78,P08192,A
2XD4,P12039,A
8QY4,Q14626,E
7E36,A0A318JQQ2,B
4GEY,A5VZA8,A
6QDD,Q4Q5S8,A
2WUU,D0AB09,A
2CSG,Q8ZQM7,A
8SL9,Q5NGA7,A
6ADQ,I7GD61,A
3LXH,Q2GB12,B
1HFE,P07598,L
4RDX,P62374,A
1ADJ,P56194,A
1AQI,P14385,A
5OCW,P9WFX9,T
1YSC,P00729,A
1T3E,Q03555,A
2A1T,P11310,A
5TBK,P18754,L
5BQ2,Q9HVW7,C
7Y17,A0A0H5CBH3,D
1BN8,P39116,A
1QE0,P60911,A
7K9Y,E2GM63,A
6HQD,G3LGZ6,A
2G6G,Q5F581,A
1LRZ,P0A0A5,A
6RY6,G0S3F2,A
4J1R,P49841,A
2NCD,P20480,A
8TLD,P32927,B
4APL,A2A114,B
8XCW,O74024,A
8PTO,P0AG30,A
3WAD,Q76KZ6,B
2EO5,F9VN77,A
6OIS,Q94A79,C
6SFW,Q8Y7K9,O
6BLD,B2HMF7,A
5KP8,F4Y432,A
6WI9,P47872,R
3TWB,B5R541,B
3ZH4,B1IBM3,A
3ZH3,A0A0H2ZNL3,A
3V47,Q06971,C
1E4F,Q9WZU0,T
1D8W,P32170,A
1GTM,P80319,A
5SZL,Q91XZ0,C
1UAE,P0A749,A
3UPK,P33038,A
5R41,P11838,A
1KKJ,Q7SIB6,A
7X0C,O49523,A
4CD5,B3PGI1,A
3TS1,P00952,A
5VCM,Q10469,A
3FIE,A7GBG3,A
1ITX,P20533,A
4R7U,Q9KP62,A
3IVT,Q9Y823,B
4R16,O59284,A
6YW6,P61158,A
8RJW,P43351,F
2C5D,Q14393,A
8Y2N,P28496,C
5Y0R,Q9X1K1,A
9C5A,Q9Y2T2,M
2WTR,P17870,B
2QS8,K7N5L1,B
1BVU,Q56304,F
1UIK,P11827,B
5UJS,Q9PP65,B
3T6C,D4GJ14,B
3J8F,P15151,7
8FY5,P11279,C
7S91,D9TSN9,A
4JEK,Q0ZIH5,C
1DFO,P0A825,D
8CRT,P18577,K
3QOK,A6T7R3,A
7KH2,Q15EG8,A
4KS9,Q1LJK6,B
2B8N,Q9X1S1,B
1B26,P96110,C
1ISO,P08200,A
1KF0,Q7SIB7,A
7Z3H,G0SHN3,F
6WJF,P12369,D
1BW0,P33447,B
1E5M,P73283,A
4X6Q,P31324,B
8XGR,P24530,R
7PKQ,A0A2K3CRX4,P
1UDX,Q5SHE9,A
5ANZ,Q9HX28,A
1BO1,P78356,B
6OMK,Q9GPZ4,A
7PKQ,A0A2K3E198,d
7W55,Q9GZQ4,R
5Y0P,O34513,A
7R3A,Q6LYR8,H
5NNZ,Q8N136,B
3WRI,P00183,B
4M0L,Q980A5,B
4RGK,A0A2U2H2N4,A
13PK,P07378,A
1QPG,P00560,A
4IL2,Q8FHC7,A
6QZY,A0A2R2JFI5,A
7RHE,A4JE13,A
6NEQ,Q32PI8,e
3R9B,A0R5U2,A
3LG0,Q6LFH8,A
7DPE,Q8LFA9,A
4JRH,Q9KQH9,A
5KCL,A0A1B0UHJ4,B
3FEQ,Q393A1,C
1Z7D,Q7RT90,B
6TGV,A0QWT2,A
5T64,B3TMQ9,A
7L4L,P0AAI5,A
4LS6,O34340,B
1LWD,P33198,A
1TQ6,Q9QZ85,A
7E3N,Q387G0,A
3VFQ,Q460N5,A
1A0S,P22340,P
5TOQ,P00503,B
4ICQ,A0A0H2UN95,A
2ZBL,Q8ZKT7,E
6AJC,Q4E4L7,A
7Y3H,A0AA82WP03,A
4GY2,Q46220,A
6N10,O23722,A
3WKG,F8WRK9,A
6G4Q,Q9P2R7,B
6G18,Q9ULX3,y
3WZF,P17174,A
6G9X,A0LNN5,A
4DZY,Q00972,A
2J9I,Q8CIX8,I
4KV9,A0A3Q0KDV9,A
3TYW,Q9EWP1,C
1FC5,P12281,A
6HQA,C4R420,J
3CFV,Q16576,B
8OWM,Q38946,F
4PXD,P77425,A
8S3D,G7JYL4,D
2VD5,Q09013,A
3NNK,B5B0L4,C
6ZXQ,P56137,A
8PQZ,P43034,D
2INV,Q3SAG3,C
2H4R,O73790,A
6M4S,M1GMS4,A
6ZK8,A0A452CSW8,O
1VYH,P63005,L
7Z1J,P07102,A
3T06,O15085,A
1EI3,O93568,C
6V6Q,P21802,A
4ZRQ,P20062,A
2WKN,A9BPK4,H
4DYJ,I6LNY0,A
5XD0,A0A088BCU2,B
4HCX,P9WKL1,A
2G02,Q03202,A
8BOB,P06993,C
1XB2,P49410,A
5OMS,A0A3B6UEE9,A
1JL5,P17778,A
1EU8,Q7LYW7,A
4RY1,Q6D532,A
1FNO,P26311,A
5Z9X,A3KPE8,A
2Q14,Q8A013,D
5T5M,O74032,B
6A7J,A0A1V0UEC8,A
1DEQ,P02676,E
7D88,A0A4P8ESF9,A
1DEQ,P12799,C
2PY6,Q1GXX6,A
8W72,A0AAT8XUJ3,A
1G99,P38502,B
4DF9,Q5L9L3,A
2YVF,Q52437,A
1RRV,Q9AFC7,A
8JNC,A0A0B4ZV78,A
1H4P,P23776,A
6JRQ,Q5SLS1,B
1ODO,Q9KZR7,A
7TR2,C4YNU9,K
3GHG,P02679,C
1GWI,Q9L142,B
1UMY,O09171,B
1LNL,P83040,A
5O1L,Q3L8N0,B
6J1N,A0A5S8WF54,A
3RI6,Q7M9C8,B
5BZ4,A0QUH3,C
8HSB,A0AAT8XUL1,A
3K2L,Q92630,A
8WWE,Q5LVV1,B
5D3U,C9ZDC6,B
2CDH,P0A953,A
7EQ5,A7ZAJ3,A
9JUB,P38567,A
1EI6,Q51782,D
4S3F,Q5SLI8,A
2VRW,P27870,B
3G6M,A9LI60,A
5VEN,Q9EQG7,A
1UED,Q8RN03,A
3CV9,P18326,A
4NAS,C8WQ56,C
1C0N,P77444,A
6EPC,P62198,J
8I03,O59702,D
2JJQ,Q9UZR7,A
1OB5,Q01698,C
1H14,Q8RJN8,A
3G5B,O08722,A
8IB2,F1RMC1,5
4FDU,Q89YI8,B
4H9G,P60338,A
5W7S,A0A1B2TT09,A
8QD1,Q4WZB3,B
6KZT,Q4H2B8,A
3GG0,A6T8V8,A
8H5D,O31853,A
7PPS,Q02K94,B
7PL2,P59206,A
7MP0,P08168,A
1SE6,Q9FCA6,B
1GPJ,Q9UXR8,A
6OPM,A0A0F8IEL4,A
1EEP,P49058,A
4E4F,C6D9S0,A
7CB8,B2HP08,A
3DZY,P37231,D
1Z8O,Q00441,A
2OHH,Q50497,A
5DL7,A0A0D5YKR4,A
3MGA,Q8ZR39,A
1AVA,P04063,A
5Y5K,P23295,A
7JVX,P60484,A
9J4K,F8QV43,A
1CQX,P39662,A
5AKQ,O52063,A
1DOF,Q8ZY28,D
1OLM,O76054,A
8OQR,O53871,C
7AKV,P05155,A
1V8J,Q922S8,A
8TSE,Q9RLB8,A
8AEP,Q7RW48,A
6NTZ,P0AEB2,A
6KFW,A0A290YXM6,A
3TDE,P9WGV1,A
1DLI,P0C0F4,A
6VV3,P9WFK7,A
1A39,P56680,A
6O60,Q7Z6K3,A
1C5G,P05121,A
6Z1S,G2QLD3,A
1FP3,P17560,B
6UFF,Q8YVV8,H
2J5L,Q9BIM8,A
1QLV,P48391,B
3S8M,Q2P9J6,A
1E5D,Q9F0J6,B
2O12,P9WPY1,A
5AF7,K4L7X3,B
1AYE,P48052,A
3HLM,P05202,D
6PK3,Q56YA5,B
1TAS,P00508,B
7TLO,B2HI07,A
4UAX,A0R4Q6,A
4U09,Q72NS0,A
1FCD,Q06530,B
4OQR,W5VH56,A
2I5Q,P77215,A
1CHM,P38488,B
1CBG,P26205,A
8K17,O75718,B
4GWE,Q02899,A
9MQH,P35372,A
4Z5Q,Q8GGM6,A
7K33,Q8U0N5,A
1DTW,P12694,A
1RU4,P0C1A7,A
8B4H,Q45618,B
8W0Z,P28330,H
2PB1,P29717,A
1ZJK,O00187,A
6H4A,Q9UDY8,A
6P5M,O75116,D
2Q6V,Q8GCH2,A
3FFS,Q8T6T2,B
6F77,Q02635,C
5GYY,Q7DN95,B
7SH5,A0PUV7,D
7S6E,Q0I663,B
7ABA,A0A8I3AZT2,B
7QZ1,D7A8L2,D
7BXR,Q0K313,A
5XW2,D9WMQ6,A
8T7J,E1CG36,D
6BDO,F5L3B8,A
8Y51,P32247,R
6EHN,A0A0K2VM55,A
8B32,Q96562,A
8RD4,Q9NYB0,D
1GPZ,P00736,A
1C7O,Q56257,C
6JD6,Q05753,B
7UY8,Q24HY6,C
2PMV,P27352,C
6VZA,A0A8I3B028,A
3GXP,P06280,B
7AE3,P05423,N
7CLI,Q00653,A
5DUL,Q8ZH62,D
6QKL,P34113,A
1GC0,P13254,C
7V58,U3BPN5,A
5M3K,Q4K420,C
8A6W,P9WPL5,E
1FC4,P0AB77,B
5L16,Q4Q0M0,A
8P8R,O35744,A
4RK2,Q2JYX5,B
4YJY,A2ZEX7,A
4ETP,P17119,A
6SU8,W8P1L2,A
2J9Y,P0A2K1,B
8DEB,I9VY56,A
4FB2,Q8VQF6,A
2BO7,Q9RFR0,I
1Y10,P9WMU9,A
3CBF,Q72LL6,A
2VOU,Q93NG3,A
3SZD,Q9I6P8,B
7R8P,Q2FWC5,A
3CAI,P9WQ67,A
1VPE,P36204,A
7FFI,A0A385MEG6,B
6DX7,Q2VAZ3,C
4J1Y,P09871,A
1WXQ,O58261,A
8IA9,Q9ALN2,A
1SQ9,Q02793,A
7N29,Q4G0N4,C
4JOB,Q9NPH0,A
8YIB,A0A0U1MWF9,A
4MM0,R9USI6,A
1E5F,O15564,B
1FI4,P32377,A
7C9R,H8Z3S2,C
4J5M,Q9ULV0,A
6ZDX,Q8NHL6,B
2D64,Q304P7,A
1E5E,A2FEV4,A
3PVZ,Q5E8L1,C
3KS7,Q5LH31,D
8C8F,P0AEX9,A
1GVH,P24232,A
8JNQ,A0AAJ6N6I0,A
2RSV,Q99986,A
1QIR,P00509,A
6LXU,Q8RDT4,A
3PE5,A7VV38,A
3U2O,Q02127,A
2VSX,P10081,B
7WWG,Q06705,A
1KVK,P17256,A
1GY8,Q8T8E9,C
4BJ5,Q06208,A
6FBP,P31153,B
2FQ6,P06721,B
3EOM,Q3JP94,B
1BIH,P25033,B
7O3T,O50337,y
6HX4,P01009,B
5BT8,A0A0M3KL68,D
3ZHE,G5EF47,D
1R7O,P49424,A
3IML,Q63YH5,D
7JJ0,P53590,D
7W64,P23476,C
1S2M,P39517,A
6F0C,Q8VS75,A
4ECD,B7GS97,B
3IP1,Q9WYP3,D
2ZU8,O58689,A
6J90,P0A2I4,A
6NBO,A0A0H3KPJ4,A
1PBF,P00438,A
3ASA,O84395,A
2G77,Q08484,A
1K0L,P20586,A
2AY7,P95468,A
5JAY,Q146K3,B
8WA3,P04896,A
1XLH,P12070,A
1DG1,P0CE48,H
5CZO,P29295,B
5OPD,P0CE47,B
7XTQ,P63092,A
8SPC,A0A224AU14,A
4OV4,B0SN40,A
5VNX,A9AE46,A
3NX3,Q9PIR7,B
8J9K,P29067,C
9XIM,P12851,D
1SG6,P07547,B
1AFW,P27796,B
1CG2,P06621,A
7OK0,P11514,C
7XZZ,P04637,L
7WFG,P56753,H
6PP9,Q02750,B
1TED,P9WPF1,A
5LP7,P45855,A
6M8N,A0A452CSY7,A
3HKZ,P58192,C
7UDP,Q8NI60,A
5HIW,A9FFA1,A
7APX,P33441,D
2OX4,Q5NN22,G
5OFY,P21549,A
1D2K,P0CB51,A
1CI8,Q9KX40,A
5YKH,Q14671,A
3CHX,Q9KX50,A
3RUY,Q81TV3,A
8T9F,Q4FZB7,K
4CGK,A0A0H2ZQ76,A
1EZ1,P33221,A
8Z7N,P01730,C
6RGO,Q6CLZ2,A
3FD5,P49903,B
8QK3,P15529,E
3SQZ,Q8DUI5,A
6OK1,D1AB74,C
4FGW,Q00055,A
2WFP,P25081,A
6ROJ,P25656,C
5FAC,O86786,C
4YZJ,A0A077K887,A
5JXZ,P0AEJ3,B
1M4S,P07097,A
4GQ1,O36030,A
1W68,P11157,A
8J59,B8N8Q9,A
5LP3,P39377,D
6K1O,B4SII9,C
3QUF,B7GMZ0,A
3BHF,P40859,A
4Z9M,P17540,G
3MCA,Q9USL5,B
3STP,A0NP48,A
5IWZ,Q9CUU3,A
8BOB,P23256,A
1DEQ,P02672,Q
7XVK,Q38950,A
1ERJ,P16649,C
3G8Y,A6L7P9,A
1XU3,P18798,C
1U0V,P30074,A
2ZBK,O05208,A
1N97,Q746J6,A
5MLH,D6N9X1,A
1FNN,Q8ZYK1,A
8V24,P0AB59,A
2Y1M,P22681,C
3HA1,A0A6L7HC45,A
8EH0,P50909,B
8VS6,P10600,E
6P7X,Q6CK37,C
1T11,Q9KQS5,A
5WER,Q9BX59,C
3PFD,G7CNE7,A
7T6D,P0AB58,A
3OV2,C0SVZ6,D
1GD9,O59096,A
1DXI,P37031,B
9BQI,Q99571,C
1YKD,P94182,B
3PZF,Q7QIJ8,A
1L6G,P10724,A
2Y4F,P31545,B
4HHM,Q9ZAI3,E
1B9I,O52552,A
9XIA,P24300,A
4EU1,Q385Q9,A
7BKB,Q2FKZ4,k
5FOI,Q83WF5,B
8EV3,P40372,B
1TVZ,Q9FD87,A
6XKI,P60843,A
1JKJ,P0A836,E
6HXE,Q9RBS3,A
6MEL,Q5HVN3,B
5W68,B7UI37,H
2V1U,Q9YEV6,A
6N04,A0A1V0QH64,B
1FCF,O04073,A
7Z6R,Q4FTX3,B
8Q1B,P05501,N
1BXC,P56681,A
7TS0,Q13324,P
7P1O,Q0CMX0,X
1BXB,P26997,D
1QT1,P50910,B
3OZ6,A3FQ79,A
8JE0,A0A9E8ZAQ2,D
5I0N,Q9BTU6,A
4KTO,Q92VK1,A
4KWO,P28720,A
1N9G,Q8WZM3,E
8IJU,O00148,A
3GDQ,P34931,A
7SOY,Q9Y570,P
1CS1,P00935,D
2VHI,Q9VI04,A
5AH0,A0A0A0YMQ9,B
1N9G,Q8WZM4,A
4CKQ,A3DJS9,A
2YXX,Q9X1K5,A
4XVX,P9WQF9,B
5INJ,A0A182DWE5,A
8A8D,A0AA82WPC1,B
2ORD,Q9X2A5,A
8E5F,A3MW92,A
8D89,A0A9X9ZA85,A
1N2T,Q9ZHG9,B
8D7H,O75462,E
6FV4,A0QU89,B
1CIV,P46489,A
1GC3,Q56232,G
5Z3E,D2PPM8,A
9ESI,O59793,e
1ECX,Q9X218,B
7VYY,A0A0K1H2R6,A
7BFI,A0A8I3N7V2,A
5ZVH,O57712,A
7E0M,S4YJ13,A
3WT0,Q8NX33,A
7R2W,P0A817,A
6W4N,A6LE66,B
3KHY,Q5NE95,A
1F8G,Q2RSB2,A
2XXP,Q9ZII9,A
5WX7,A0A1X8XLG2,D
3QFP,P16474,A
3C3J,P42907,D
3CWZ,Q6PAL8,B
8QBH,Q7MZT8,A
8RSE,P06873,A
8PCW,A0A0A7HFE6,A
2G6W,P12998,A
4ZR0,Q03529,A
8R42,P36222,B
1BUC,Q06319,A
2X0B,P00797,G
5JAO,Q13093,A
1G4U,P74873,S
4L1F,D2RL84,B
3K5H,A1CII2,C
7TE6,A0A8J0TPH2,A
5VRQ,Q5ZY89,A
7EU3,O98691,H
1XMX,Q9KQU9,A
8WDV,O82947,C
4JP0,Q939S9,A
1CS6,P28685,A
4O5M,A0A0H3G544,A
1A6Q,P35813,A
8Q72,A0A3T6B0Z0,N
1JRR,P05120,A
4OOU,B4XC07,B
7EO9,P33173,A
2JIF,P45954,B
4R5F,O29689,A
2Y4M,D0MI02,B
1C30,P0A6F1,H
5HPK,Q96PU5,A
3CIN,Q9X1D6,A
6WWG,L0N7N1,N
6H3A,Q13263,F
3EAF,Q9YCF4,A
6KM8,A0A6I8WFM7,A
8EL8,P38405,A
5WCN,G4RIN4,A
1VJO,Q8YY48,A
1T47,Q53586,A
5WCX,Q9A0F9,A
3OKA,Q8NNK8,A
3IYP,P08174,F
7TI1,P05364,A
9AXJ,Q47ST9,A
6I3M,P32502,E
2SIM,P29768,A
3D37,Q9JZC8,A
3LB6,Q14627,D
3KLD,Q69Z26,A
1QH4,P05122,C
6NO7,P00514,B
1QMU,P83852,A
4R8D,P9WML7,A
7DSM,P07285,A
1CRK,P11009,A
3ID5,Q97ZH3,A
3L70,P18946,P
1G0W,Q9XSC6,A
3TUG,Q96J02,A
6E1C,A0A2D2CY72,B
5LI3,Q9HXM1,A
4D6T,P00157,C
8S02,Q68VM0,B
2THI,P45741,A
7WHS,E9BG32,C
1R85,P40943,A
3JA6,Q56310,C
3GMB,Q988D3,A
2OGE,Q9ZGH4,D
8D1W,W4J0F1,A
8IOG,P24964,A
7MD8,A0A0H3K724,H
8ZMK,V7CJ18,B
4GA7,P30740,A
3OT5,Q8Y4B4,A
7F4X,P0DMV9,A
6GTL,P25006,A
8A1I,Q9DBR3,A
1UKW,Q72JJ3,B
1A59,O34002,A
3IUP,Q470B9,B
4HH2,Q3J179,A
3QWT,A0A0H2WND1,A
1K9O,P14754,I
5YUQ,A0A3B6UEQ2,A
3ZIL,Q75E93,A
6C7L,A0A0Q2QQL1,A
5IS8,Q9WVG6,A
6M1W,A0A402C2Q3,B
5UMB,Q05866,A
8R22,Q6P4I2,D
4W8A,D2XML9,A
4AN4,Q9RN61,B
1EHI,Q03ZI1,A
3GX9,Q51990,A
3J8J,P68135,E
4M9A,Q2T4A2,B
1W22,Q9BY41,A
6NY5,O60059,A
5EDV,Q96EP0,A
4HWG,Q1RIM5,A
4KDS,I3WWD7,A
1FOE,Q60610,A
2XXL,Q9VB68,A
6NPD,A0A4V8H042,B
9B3Q,P68032,E
1N4S,Q04631,A
5X6B,Q59072,I
3NDA,Q06B74,B
1E3L,Q9QYY9,B
1ELJ,P58300,A
1F6D,P27828,D
3A9I,O87198,A
5UAN,P10826,B
7BET,P69924,A
4O68,Q8N884,A
8OK8,M4SXH7,A
8V2Z,P63267,A
4QTS,Q59062,B
5NV8,Q88LS1,A
7U56,A0A0H3GSI5,A
5CE3,G3CKA6,C
5BTB,Q753P9,A
7ZBF,A0A0K8RJV9,A
4CBX,Q4YU79,A
6J7J,Q9HZZ1,A
6ERP,Q9H5Q4,J
8WZL,Q9FH09,A
1BHE,P26509,A
4YSH,Q5L2C2,A
9C21,P60711,C
4J16,Q72GR8,B
7MDH,P17606,D
5TNX,B1Z4S6,A
6J38,X5IYZ1,A
1C3S,O67135,A
1D4X,P0DM41,A
4IJN,A0QQK1,B
1B65,Q59632,F
1NM1,P07830,A
7OJE,D6WWN1,C
6L4B,Q9UGV2,F
5VJ4,A0A0R9P931,B
1EDG,P17901,A
7PDZ,P60712,N
4CT5,P26196,B
3MIX,P35620,A
6ZNL,Q6QAQ1,H
3LLX,Q5QX87,A
1LDE,P00327,C
7ERV,Q1JU62,A
1CDO,P26325,A
5U84,A0A383ZFX3,A
3L2E,Q6AW43,A
1DEH,P00325,A
5X68,O15229,A
8DWS,O43791,A
5GKV,Q9ABH2,A
1DDI,P38038,A
1D1S,P40394,C
3C4A,Q9S3U8,A
1EE2,P00328,A
4KH9,Q5ZWX8,A
1D2P,Q53654,A
8BAD,A0A4V1G8Q1,A
7XC6,A8R7D1,E
5NW4,A0A151MAL5,V
7VTK,A0A8D3WIQ3,A
3NFB,Q52VH2,A
1P0C,O57380,A
1VGP,Q974S5,A
8DNU,P15104,E
2PGW,Q92YR6,C
3OZQ,D1MYQ6,A
1Q8Y,Q03656,B
3TBF,Q5NHQ9,B
3GB0,Q731F0,A
1DB3,P0AC88,A
1GA6,P42790,A
3ZYT,K4DIE4,A
6VLC,A0A0U1RGY0,A
7YI9,Q22GC0,B
6OS3,A8M6W6,A
6O15,P39353,B
3GIR,A0A0H3M6H9,A
5TXK,Q9P2H5,A
3LWU,Q088B8,A
1F9C,Q51958,B
1FP1,P93324,D
5W0A,A0A0F9XHQ5,B
1G29,Q9YGA6,2
1R8G,P77213,B
4I5N,Q9Y5P8,E
8Q83,Q7N8I5,D
2QAP,Q9U5N6,D
1EG1,P07981,C
1HLG,P07098,B
2FO1,P14585,E
6JLQ,L8I535,C
6UKD,P0C0J0,A
1NWC,P44801,B
1AJ8,Q53554,B
3FJ4,Q4K9X1,B
4C1S,Q8A174,B
1F8F,Q59096,A
1OF6,P32449,A
1C8B,P22321,A
5LKD,P36156,A
2Z61,Q58097,A
1F2J,P07752,A
1NU5,P27099,A
6TME,Q9LJ64,B
3PSG,P00791,A
8OSJ,O08785,M
8U4Z,A0AAT8XUH8,A
4K36,Q0TTH1,A
8TJ3,P0ABG7,B
1CA1,P0C216,A
5UVG,Q9NY59,A
8AP8,Q57ZW9,d
4HVL,G7CDQ2,A
8VAA,P68138,A
4ZTV,A5U4M0,A
1FBL,P21692,A
7LCE,D0ZLR3,C
2EPH,P14223,C
6BXA,F8W3J5,A
4LR4,C4ZEB7,A
4A9A,P39729,B
4LDQ,Q9BV20,B
8A0E,P49366,A
6RHS,E0NE46,A
5HWE,Q8RSQ2,A
4A5P,P0A1I5,A
2PNW,A9CKT8,A
6TZ8,O42773,A
1GOX,P05414,A
4J1O,A1B198,B
3DUF,P21873,A
7SMD,P28749,A
2BJR,Q7YXJ9,A
1FNF,P02751,A
6GIQ,P07257,M
6H7W,G0SH11,N
8DU5,O35657,B
4LWO,Q57U70,B
7PKQ,A0A2K3DFB5,e
4WQJ,Q55080,A
4G0D,P45452,D
3Q4D,Q11T61,A
1FCH,P50542,B
3FMC,A1S356,D
8BAO,A0A2N4S908,B
3US3,P07221,A
3LUT,P62483,A
1BRM,P0A9Q9,C
7REU,A0A2H0ZNV2,B
3SLU,E0N688,A
3QFW,Q216E8,B
4MU6,Q5ZUU1,A
1CM8,P53778,B
1GR0,P9WKI1,A
1UBY,P08836,A
3W15,P39108,A
6KXN,F8WSX2,A
6AMQ,G8LES0,A
7W8U,D6RT90,A
8C2Z,Q9Y463,A
1M67,P90551,A
4K74,Q1R4N6,B
3HGU,Q8GPH0,B
5UWV,B1MMQ4,A
7TLT,B0UXQ0,A
4NLB,Q581R8,A
7D1I,A3M9Y1,A
7RCI,P54278,B
4AY1,Q15782,E
3FRK,Q6TFC4,A
3MT1,Q92TG9,A
3MCP,A6LCG6,A
6OK2,Q39VU6,A
5EPD,A0A0A0VDJ9,A
3BZA,Q45135,A
2Z04,O66608,A
4LCB,F4B4B0,A
1GQE,P07012,A
1PSC,P0A434,B
6ZIY,Q60019,H
1CB2,P07987,A
2HHF,O15382,A
3P74,P71278,A
1BII,P01900,A
4RXU,A9WDY0,A
4K22,P25535,A
9HMF,A0A1E7NUR8,D
1ONH,Q59401,A
8CBK,Q7L0Y3,F
6XMH,P04075,A
6J6T,Q8GXJ1,C
2VAP,Q57816,A
8XY5,A0A108C1V7,A
4WOJ,Q8G8T7,A
2V6F,Q6PQJ9,A
7VDC,P00883,A
8SP2,A0AAN0NPA7,H
1ZRZ,P41743,A
6NIB,G7JT50,A
1OC5,Q9C1S9,A
1FDJ,P79226,A
3M6I,Q7SI09,A
8WTB,P37570,C
5IM2,Q21VB6,A
4XTC,Q9KWT9,T
1CNZ,P37412,A
4V24,Q9NYA1,A
2J2F,P22337,C
1DGM,Q9TVW2,A
1CM7,P30125,B
2FSS,O13437,B
1IS9,A3DC29,A
5Z9A,B7UV40,A
6QPP,P19515,A
3PF0,Q4FQQ8,A
8RTV,Q47KL3,A
7RTG,P00813,A
7XZI,A8J6H7,4
6HB3,P48362,A
6AT5,P01889,A
7JWJ,P01899,A
4ZRL,O17087,A
5JK0,O25386,A
3FI8,Q8IM71,A
3HWB,P02931,B
6C8W,A0A179UL48,B
7PCQ,Q8NX66,E
1BML,P00779,D
2C0R,Q59196,B
1CZF,P26214,B
1QZE,P54725,A
5IQ0,Q4TZQ3,D
8IF7,A6YEH3,A
1MPP,P09177,A
6JTK,Q5FA94,D
8PAK,A0A250J6H4,B
6MYW,A1E8I9,D
1G1A,Q9EU31,A
1YHT,Q840G9,A
7N63,C5ZW06,A
1FR6,Q46041,A
5CRV,Q9H3S7,B
8SM9,W7L2Y2,H
1PAX,P26446,A
1C0L,P80324,A
3OKF,Q9KNV2,B
1OWQ,P30922,A
1JKM,O68884,B
9ESI,O13758,n
8IYS,Q5NUL3,R
1WBW,Q16539,A
1IZL,P51765,J
1FBA,P07764,D
4QD4,R4NH29,B
7YMI,A5A8K9,A
5H83,A0A1C7D195,B
6MIT,A0A0H3CQA2,J
3AY5,O95273,A
3MYD,O06758,A
6ZWR,P47811,A
5XOY,Q8VUS5,A
5EKS,V5V8R5,A
1BJO,P23721,A
8B3W,M4T0T6,A
6HKW,Q15435,C
1A7K,Q27890,B
1LBH,P03023,A
4F8J,Q6N8W4,A
7NHQ,P0A444,A
6K3G,Q6V4H0,B
4K1P,Q3Y6N6,H
4XAE,Q9LHN8,A
5J6F,L8A208,B
5MX0,Q06828,B
6LNK,Q9URB4,B
5CKR,O66465,A
1Q7G,P31116,B
4FP1,P11444,B
3ZPJ,B6YTT4,A
4DPL,Q96YK1,C
8DU1,A0A077ELH2,D
6VU5,P50148,B
3NU7,Q9HZ76,A
2YYZ,Q9WYQ2,A
7Q21,Q8NNK2,G
8JB8,F4YXC2,B
4WH1,E8MF12,A
6BAS,Q5SIX3,A
1BG6,Q44297,A
5GK6,P0AB71,A
1A05,Q56268,A
1QCX,Q00205,A
3KX6,A7AV51,A
4QB7,A6L3B5,A
8HS3,Q99678,R
8A1F,Q15262,B
2ERK,P63086,A
4BG8,Q8TX37,A
4IC6,Q9LU10,A
3UDU,Q9PLW0,A
6PIJ,A0A5S8WF90,I
6MV1,Q7L1T6,A
1ECE,P54583,A
8PM2,Q5QD08,R
4USR,M2V3J0,A
5HL3,Q8Y4H2,A
2QYO,Q06YR3,A
6G79,P28222,S
6P3H,Q0KJL4,C
4BHY,A0KH11,A
1CJX,P80064,A
3NOY,O67496,A
5U8E,A0A286R7K5,A
1RCQ,Q9HTQ2,A
9CG2,I6U6R8,A
1P52,P51541,A
1DBZ,P46275,A
4A9W,B2FRL2,B
2X1E,P15802,D
6Y2Q,P52129,A
3FZ0,Q57X73,D
1G01,P19424,A
3RF7,Q12MB1,A
4BG4,Q004B5,A
1PL7,Q00796,C
5DS0,M7T295,G
4CAS,P07173,A
1GP4,Q96323,A
7PKQ,A0A2K3DDW6,r
4LRX,P76015,B
4DEZ,A0QR77,A
2QTH,Q980M3,A
5K8C,Q8EEB0,A
3N8D,Q5HEB7,A
4KQK,Q05603,A
5LD5,F1T6A5,D
1FG3,P06986,A
1BXG,Q59771,A
6XSU,A0A8I3B056,A
4HCY,D2V4Z5,C
4NQ3,A8IKD2,B
1V04,P27170,A
3RFY,Q9SSA5,A
7ZDM,A0A8N7XJK5,k
7CL1,Q8N6T7,A
6J4S,Q86V25,A
4L7L,Q9Y6F1,A
4LRT,D1A3K8,C
2POO,O66037,A
1GOJ,P48467,A
8B28,F6GSX7,A
3KHJ,Q5CPK7,H
8QCH,Q6DHV7,H
1BXK,P27830,B
3SBT,P32357,B
1F0K,P17443,B
1BRL,P07740,C
3ETJ,P09029,B
6FRD,Q8WQX9,B
3FFB,P10824,A
8GJW,A0A8B8BQ58,A
